met,altitude_km,vertical_speed_ms,true_air_speed_ms,mach_number,dynamic_pressure_kpa,thrust_kn,pitch_deg,roll_deg,downrange_distance_km
0.0,0.2405,0.0,0.0,0.0,0.0,0.0,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.01,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.01,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.01,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.01,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.01,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.02,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.02,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.02,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.02,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.03,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.03,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.03,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.04,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.04,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.04,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.05,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.05,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.06,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.06,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.07,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.07,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.08,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.09,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.11,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.11,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.12,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.13,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.14,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.15,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.17,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.2,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.2,89.97,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.23,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.26,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.26,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.3,90.0,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.31,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.32,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.35,89.98,-90.0,0.0
0.0,0.2405,0.0,0.0,0.0,0.0,0.39,90.0,-90.0,0.0
